sentence pair id,sentence pair type,evaluator id,q1 score,q2 score,target language,human translation,machine translation,original
BG_SE_1,A,BBC_Bulgarian_01,0,0,BG,Защо американският флаг се развява? ,Как се развява това американско знаме?,How did that US flag wave?
BG_SE_1,A,DW_Bulgarian_01,37,0,BG,Защо американският флаг се развява? ,Как се развява това американско знаме?,How did that US flag wave?
BG_SE_1,A,BBC_Bulgarian_03,54,0,BG,Защо американският флаг се развява? ,Как се развява това американско знаме?,How did that US flag wave?
BG_SE_1,A,DW_Bulgarian_02,97,0,BG,Защо американският флаг се развява? ,Как се развява това американско знаме?,How did that US flag wave?
BG_SE_1,A,BBC_Bulgarian_02,55,0,BG,Защо американският флаг се развява? ,Как се развява това американско знаме?,How did that US flag wave?
BG_SE_2,A,DW_Bulgarian_02,100,0,BG,Като този пожар в столицата на Аляска Енкоридж. ,Като този пожар в столицата на Аляска - Анкоридж.,"Like this fire in Alaska's capital, Anchorage. "
BG_SE_2,A,BBC_Bulgarian_01,96,0,BG,Като този пожар в столицата на Аляска Енкоридж. ,Като този пожар в столицата на Аляска - Анкоридж.,"Like this fire in Alaska's capital, Anchorage. "
BG_SE_2,A,DW_Bulgarian_01,100,0,BG,Като този пожар в столицата на Аляска Енкоридж. ,Като този пожар в столицата на Аляска - Анкоридж.,"Like this fire in Alaska's capital, Anchorage. "
BG_SE_2,A,BBC_Bulgarian_03,92,0,BG,Като този пожар в столицата на Аляска Енкоридж. ,Като този пожар в столицата на Аляска - Анкоридж.,"Like this fire in Alaska's capital, Anchorage. "
BG_SE_2,A,BBC_Bulgarian_02,100,0,BG,Като този пожар в столицата на Аляска Енкоридж. ,Като този пожар в столицата на Аляска - Анкоридж.,"Like this fire in Alaska's capital, Anchorage. "
BG_SE_3,A,BBC_Bulgarian_01,100,0,BG,Направиха проверка на Юрий дали не е жертва на сексуален тормоз. ,Юри е проверен дали е жертва на сексуални престъпления.,Yuri was checked as to whether he was a victim of sexual offenses. 
BG_SE_3,A,DW_Bulgarian_02,86,0,BG,Направиха проверка на Юрий дали не е жертва на сексуален тормоз. ,Юри е проверен дали е жертва на сексуални престъпления.,Yuri was checked as to whether he was a victim of sexual offenses. 
